Precinct,district
7200007,14
7200012,14
7200021,14
7200045,14
7300001,14
7300002,14
9500049,14
9700024,14
WARD 04 PRECINCT 01,14
WARD 04 PRECINCT 03,14
WARD 05 PRECINCT 01,14
WARD 05 PRECINCT 09,14
WARD 05 PRECINCT 10,14
WARD 05 PRECINCT 15,14
WARD 07 PRECINCT 02,14
WARD 07 PRECINCT 10,14
WARD 07 PRECINCT 12,14
WARD 07 PRECINCT 13,14
WARD 07 PRECINCT 16,14
WARD 07 PRECINCT 17,14
WARD 09 PRECINCT 08,14
BOURBONNAIS 10,11
BOURBONNAIS 11,11
BOURBONNAIS 13,11
BOURBONNAIS 14,11
BOURBONNAIS 17,11
BOURBONNAIS 5,11
MANTENO 4,11
ESMEN,17
PONTIAC 10,17
PONTIAC 9,17
CATLIN 2,13
GEORGETOWN 5,13
GEORGETOWN 7,13
MCKENDREE,13
OAKWOOD 2,13
VANCE,13
PEOTONE PCT 001,14
PEOTONE PCT 002,14
7200030,14
7900010,5
7900012,1
7900026,1
7900043,1
7900047,1
7900050,1
7900072,1
8600015,14
8900023,1
9400012,14
9700001,14
9700043,14
9700058,14
9700073,14
WARD 19 PRECINCT 10,14
WARD 19 PRECINCT 11,14
WARD 19 PRECINCT 19,14
WARD 19 PRECINCT 25,14
WARD 19 PRECINCT 26,14
WARD 19 PRECINCT 31,14
WARD 19 PRECINCT 36,14
DOWNERS GROVE  011,1
LISLE  017,1
LISLE  030,1
LISLE  041,1
LISLE  064,1
LISLE  071,1
LISLE  082,1
LISLE  107,1
YORK  006,1
YORK  007,1
YORK  015,1
YORK  023,1
YORK  038,1
YORK  070,1
YORK  087,1
YORK  106,1
YORK  116,1
7400017,1
7600004,4
7600015,1
7800026,5
WARD 26 PRECINCT 27,5
WARD 29 PRECINCT 04,5
WARD 29 PRECINCT 05,5
WARD 30 PRECINCT 03,5
WARD 30 PRECINCT 15,5
WARD 30 PRECINCT 22,5
WARD 30 PRECINCT 23,5
WARD 32 PRECINCT 19,5
WARD 33 PRECINCT 16,5
WARD 35 PRECINCT 22,5
WARD 37 PRECINCT 16,5
WARD 38 PRECINCT 06,5
WARD 38 PRECINCT 11,5
WARD 38 PRECINCT 17,5
WARD 38 PRECINCT 24,5
WARD 40 PRECINCT 23,5
WARD 45 PRECINCT 24,5
WARD 45 PRECINCT 27,5
WARD 45 PRECINCT 29,5
WARD 47 PRECINCT 28,5
ADDISON  007,1
ADDISON  065,1
WINFIELD  002,1
WINFIELD  031,1
YORK  087,1
7800026,5
7900010,5
7900012,1
7900026,1
7900043,1
7900047,1
7900050,5
7900072,1
8500033,5
8900023,1
8900025,5
8900030,1
8900071,1
9400012,14
9700001,14
9700058,14
WARD 14 PRECINCT 01,14
WARD 15 PRECINCT 10,14
WARD 16 PRECINCT 07,14
WARD 16 PRECINCT 23,14
WARD 17 PRECINCT 02,14
WARD 18 PRECINCT 18,14
WARD 20 PRECINCT 01,14
WARD 20 PRECINCT 05,14
WARD 22 PRECINCT 02,5
WARD 24 PRECINCT 18,5
WARD 25 PRECINCT 03,5
WARD 25 PRECINCT 13,5
DOWNERS GROVE  011,1
YORK  006,1
YORK  007,1
YORK  015,1
YORK  023,1
YORK  038,1
YORK  070,1
YORK  106,1
YORK  116,1
7800026,5
8500033,5
8900025,5
8900030,1
8900071,1
WARD 01 PRECINCT 21,5
WARD 02 PRECINCT 23,5
WARD 03 PRECINCT 02,14
WARD 03 PRECINCT 07,5
WARD 03 PRECINCT 19,5
WARD 03 PRECINCT 20,5
WARD 03 PRECINCT 22,5
WARD 04 PRECINCT 24,5
WARD 14 PRECINCT 01,14
WARD 15 PRECINCT 10,14
WARD 16 PRECINCT 07,14
WARD 16 PRECINCT 20,14
WARD 16 PRECINCT 23,14
WARD 17 PRECINCT 02,14
WARD 17 PRECINCT 14,14
WARD 20 PRECINCT 01,14
WARD 20 PRECINCT 05,14
WARD 20 PRECINCT 08,14
WARD 20 PRECINCT 14,14
WARD 22 PRECINCT 02,5
WARD 24 PRECINCT 18,5
WARD 25 PRECINCT 03,5
WARD 25 PRECINCT 13,5
WARD 26 PRECINCT 27,5
WARD 27 PRECINCT 09,5
WARD 27 PRECINCT 12,5
WARD 27 PRECINCT 13,5
WARD 27 PRECINCT 21,5
WARD 29 PRECINCT 04,5
WARD 29 PRECINCT 05,5
WARD 37 PRECINCT 16,5
WARD 42 PRECINCT 09,5
WARD 42 PRECINCT 22,5
WARD 43 PRECINCT 15,5
8000020,5
8000069,5
8100018,5
8100027,5
8100031,5
8100032,5
8200001,5
8200026,5
8300008,5
8300033,5
8300043,7
9600011,7
9600021,7
9600040,7
9600046,7
9600047,7
9600048,7
9600054,7
9600063,7
9600084,7
9600086,7
WARD 40 PRECINCT 04,5
WARD 40 PRECINCT 19,5
WARD 41 PRECINCT 28,5
WARD 46 PRECINCT 07,5
WARD 46 PRECINCT 08,5
WARD 46 PRECINCT 10,5
WARD 47 PRECINCT 02,5
WARD 47 PRECINCT 03,5
WARD 50 PRECINCT 24,5
WAUCONDA 344,7
WAUCONDA 350,7
8100018,5
8100027,5
8100031,5
8100032,5
8300008,5
8300043,7
9600047,7
9600048,7
9600054,7
GREENWOOD GRE 06,4
HARTLAND HAR 02,4
MCHENRY MCH 07,4
COLONA 1,15
EMMET,10
MACOMB CITY #1,10
MACOMB CITY #2,10
MACOMB CITY #7,10
MOUND,10
SCOTLAND,10
ALLIN 01,3
BLOOMINGTON 01,3
BLOOMINGTON 02,3
DALE 01,3
NORMAL 12,3
NORMAL 13,3
NORMAL 20,3
PRECINCT 10,3
PRECINCT 15,3
PRECINCT 17,3
PRECINCT 2,3
PRECINCT 52,3
KI01,3
LI01,3
LI02,3
RI01,3
RI03,3
RO01,3
CINCINNATI 01,3
CINCINNATI 03,3
HOPEDALE 01,3
LT MACKINAW 01,3
PEKIN 13,3
CHERRY VALLEY 2,9
CHERRY VALLEY 3,9
CHERRY VALLEY 6,9
HARLEM 1,9
HARLEM 23,9
ROCKFORD 1,9
ROCKFORD 15,9
ROCKFORD 2,9
ROCKFORD 25,9
ROCKFORD 27,9
ROCKFORD 31,9
ROCKFORD 32,9
ROCKFORD 33,9
ROCKFORD 51,9
ROCKFORD 52,9
ROCKFORD 9,9
WARD 1 PRECINCT 2,9
WARD 1 PRECINCT 5,9
WARD 12 PRECINCT 2,9
WARD 12 PRECINCT 5,9
WARD 4 PRECINCT 1,9
WARD 4 PRECINCT 4,9
WARD 4 PRECINCT 8,9
WARD 5 PRECINCT 3,9
WARD 6 PRECINCT 1,9
